[run number];zeleni-broj-zivota;brzina-lovaca;tip-pretrage2a;[step];count lovci;count novcici;count lopovi
4;1;0.1;"""sirina""";1000;6;53;4
2;1;0;"""a-star""";1000;5;4;4
3;1;0;"""pso""";1000;6;0;4
6;1;0.1;"""pso""";1000;4;2;4
5;1;0.1;"""a-star""";1000;5;46;5
7;1;0.2;"""sirina""";1000;5;26;4
8;1;0.2;"""a-star""";1000;4;29;5
9;1;0.2;"""pso""";1000;4;20;5
10;1;0.3;"""sirina""";1000;5;25;5
11;1;0.3;"""a-star""";1000;5;31;4
12;1;0.3;"""pso""";1000;4;77;4
13;1;0.4;"""sirina""";1000;5;29;5
14;1;0.4;"""a-star""";1000;4;51;5
15;1;0.4;"""pso""";1000;4;35;5
16;1;0.5;"""sirina""";1000;4;29;4
17;1;0.5;"""a-star""";1000;4;47;5
19;1;0.6;"""sirina""";1000;4;73;4
18;1;0.5;"""pso""";1000;4;66;4
21;1;0.6;"""pso""";1000;5;22;4
20;1;0.6;"""a-star""";1000;4;32;4
22;1;0.7;"""sirina""";1000;4;68;4
24;1;0.7;"""pso""";1000;4;62;4
23;1;0.7;"""a-star""";1000;4;61;5
25;1;0.8;"""sirina""";1000;4;61;4
26;1;0.8;"""a-star""";1000;4;39;4
27;1;0.8;"""pso""";1000;4;88;4
28;1;0.9;"""sirina""";1000;5;74;4
30;1;0.9;"""pso""";1000;4;68;5
29;1;0.9;"""a-star""";1000;5;95;4
31;1;1;"""sirina""";1000;5;76;5
32;1;1;"""a-star""";1000;5;86;4
33;1;1;"""pso""";1000;4;81;4
34;6;0;"""sirina""";1000;4;55;5
35;6;0;"""a-star""";1000;5;24;4
36;6;0;"""pso""";1000;4;3;4
37;6;0.1;"""sirina""";1000;5;19;4
38;6;0.1;"""a-star""";1000;5;62;4
39;6;0.1;"""pso""";1000;4;0;5
40;6;0.2;"""sirina""";1000;4;32;4
41;6;0.2;"""a-star""";1000;6;36;4
42;6;0.2;"""pso""";1000;4;29;5
43;6;0.3;"""sirina""";1000;5;62;4
45;6;0.3;"""pso""";1000;5;56;4
44;6;0.3;"""a-star""";1000;4;45;6
46;6;0.4;"""sirina""";1000;4;84;5
47;6;0.4;"""a-star""";1000;5;64;5
48;6;0.4;"""pso""";1000;4;63;5
49;6;0.5;"""sirina""";1000;5;53;4
50;6;0.5;"""a-star""";1000;4;65;4
51;6;0.5;"""pso""";1000;4;20;4
52;6;0.6;"""sirina""";1000;4;75;4
53;6;0.6;"""a-star""";1000;4;29;5
54;6;0.6;"""pso""";1000;4;73;4
55;6;0.7;"""sirina""";1000;4;71;4
56;6;0.7;"""a-star""";1000;4;28;4
57;6;0.7;"""pso""";1000;4;40;4
58;6;0.8;"""sirina""";1000;5;74;4
59;6;0.8;"""a-star""";1000;3;63;5
60;6;0.8;"""pso""";1000;4;75;5
61;6;0.9;"""sirina""";1000;4;94;4
62;6;0.9;"""a-star""";1000;5;96;4
63;6;0.9;"""pso""";1000;4;80;4
64;6;1;"""sirina""";1000;4;96;4
65;6;1;"""a-star""";1000;4;64;4
66;6;1;"""pso""";1000;4;70;4
